name,yelping_since,average_stars,user_id,review_count
Jesse,2011-05-01,3.74,DWfos3PxcrkqAJoAZHEg3A,143
Lauren,2011-01-10,3.76,vLixm38Zd-xgAvN1LQJfKQ,367
Neha,2012-05-01,3.47,JmMXYQJio5eXgOvVZl_xGw,209
Jennifer,2010-07-30,3.69,N0qq4upibIRvLzE2SzVPtQ,376
Dee,2012-04-09,3.48,DQ5Szn4T14ddEd6F5jHHpg,173
Kellee,2010-01-19,3.45,ZsUSGU1-L1ImomLZjXxxTg,606
EJay,2009-03-28,3.45,HRyFtrmf19GTKEM_kOa2pg,368
Shari,2007-06-17,3.6,7HOTOydGS7wJYaJqNoDfeg,294
Cindy,2012-03-16,2.82,y5YNzZwQuYxgE-jSDcZLxA,357
Shannon,2009-05-24,4.31,tQVTyovdm4doXxDSkfYUUw,268
Mel,2011-02-06,4.21,3CMiTAhq_o_GP1tLs-ihbg,588
Sophia,2014-06-05,4.29,LTCxnnAQGaGZPHZx4KbvGA,203
Keith,2007-11-14,3.55,N044aCKJv3G5WuvwT5AJcA,400
Kent,2010-05-07,3.48,fAfGwjh5A_ydd0A4ZdGenw,507
Sam,2012-05-02,4.26,NwxF1Ftc-4P5Pl_SSXThQA,263
Justine,2011-08-15,3.38,LmWO_u9v7e1vMJlNykjUoA,207
Steve,2010-11-08,3.62,sADnfWdDNhHnrox8vc4Kkg,250
Elizabeth,2012-08-23,4.44,Hw5riZfnB-B7G79vBTOssA,373
Mr,2006-09-03,3.45,AKXqbuifvfvNEpr3Qs51hQ,380
Cara,2014-01-27,4.06,RlpkcJqctkKXl-LO1IAtig,473
Ernesto,2012-05-29,3.63,LnnYSUlw_MVdtoYUt4oZ5g,234
Poco,2011-07-12,4.19,D43OWyfzIQjL8feJpYh2SQ,476
Nydia,2011-01-14,3.91,04J_q_VhSBItxNiEAN-gkA,441
Elizabeth,2010-04-06,3.9,zgV0ZroIF956gw4cul8MHA,608
Jen,2007-12-25,3.73,Xxvz5g67eaCr3emnkY5M6w,2075
Tiff,2012-02-17,3.15,m7z-tX6XDZ27xGhGjnI21w,535
Brian,2008-08-22,4.21,qOn1VFThKD5y5zrFEQXpGA,180
Teresa,2011-02-06,4.39,7GVA958q4zs5Z8cdHauU5Q,835
Kaitlin,2010-06-24,3.68,i6nzTfZ8TRckJOGgZIpr5Q,613
Lisa,2014-06-02,3.93,8Ox2EA8A7FVSzVEM3TRn7Q,198
Ellen,2014-01-10,3.69,55bAo20xQNIA2CfMKIDtPA,210
Maheen,2011-08-15,3.8,gS4QCL6j_umAyfJXBGAZJQ,400
Shigeru,2014-12-22,3.21,mvq6mTZBd3mdDg_bZRWiuQ,263
Evan,2009-09-22,3.81,CcOgdfEJxgrxTAwag5k18Q,484
Veronika,2010-05-10,3.59,RoJCMSycQZGEefAh8-OHJg,287
Andrew,2008-07-11,3.79,Ksp1e9Dw0Jcog_ZBD3-45g,554
Lesley,2011-11-05,3.27,HWLr60IBXAy9HD23W3Xmfg,311
Ashley,2012-05-03,4.32,OW0PZxoGFGSOthAmN_cSUg,212
Steph,2009-10-24,3.46,8HCEPF0IflyB690Q745fKg,523
Rachel,2009-09-18,3.97,Ytjon2aVUm09CMdfGJxZYg,636
Anna,2009-03-10,3.82,jyz8-hAPGRjurBVp9DST9A,337
Nora,2010-09-08,3.69,TVkU2gHhe05v_lgsE_NccA,509
Royce,2015-09-07,3.8,kbfpED-6FURIsNlsAXqc2g,398
Steven,2011-03-28,4.22,LG-FOXQL0zUcRQuqkhq-Zg,390
Michael,2012-04-12,4.07,gtwM4ijo65AN4DvXdgCu_w,318
Geneva,2012-01-01,3.54,p9c15C0TiryLJKobzwPt1A,154
Charlotte,2011-04-10,3.35,2vJ2e51kdbdAmAo_HTr4KQ,473
Sabeve,2015-12-16,3.93,22dqLO1If5t3j06a2gd7lA,172
Aimee,2015-12-18,3.6,T13IBpJITI32a1k41rc-tg,304
Martin,2009-03-27,3.75,pcynTq-0cvM1fEW0oBVyww,140
Erica,2012-01-14,3.76,9pNcdrQLWWrX0vEGGJlEbg,341
Sylvia,2010-08-12,4.0,lT49-Xggq_VAB2E9dce0yA,362
Paul,2011-06-19,3.58,HJj82f-csBI7jjgenwqhvw,925
Mar,2011-09-13,3.61,7nI_9eRz1YKnaA0AYTLiBw,262
Anthony,2011-01-25,3.61,_7PfR6Tvh2xTbiVi1GELoQ,356
S,2014-12-24,3.85,0uNxhZAFbkalQImzJ6UDUA,492
Stefany,2011-06-29,3.36,bLbSNkLggFnqwNNzzq-Ijw,4187
Eric,2008-02-22,3.98,_uqIpl5tzucKuIlZZPBZRw,596
Yvonne,2009-08-17,3.36,ahwwAXJ_qwGmuRjTOHHMWg,461
April,2011-08-17,3.78,ACwN3HGetqPVhAgGKzdnsA,487
Megan,2010-01-22,4.43,CKRfBUqQGaVCYTKN5kDrzw,546
Brandon,2013-01-18,3.89,KgFOJnWXxVuz0b-xfo6jjw,206
Michele,2011-06-23,3.7,UL5K2rnSYIPD1LcqPgbmDQ,253
Irene,2011-10-05,3.35,UXpTrzITc0yg08sXftsa-w,293
Tori,2010-08-30,3.72,b3DYIU3TFc4gy9H_50_hUA,251
Luciana,2010-04-18,3.99,1ghFOCMBpo2bGaWu_c1tcg,827
Jeff,2008-09-20,3.82,rhE4gLtM0gb3XLwSz6HPCw,191
Becky,2013-04-22,3.98,bdRS6ZRxf6CNrnULnMI1cg,251
Stacy,2010-08-30,3.13,ThTUwfNAdWrK6tKvl-Dtpw,235
Agnes,2013-04-29,4.26,WdD8hWn-NjSyDYoHqin_tQ,284
Brian,2009-06-29,4.08,nPXVprOV3ioobtAc_s7-CA,474
Lauren,2012-09-06,3.86,bu1mtWwxuayzV6b3VScWLw,418
Kris,2012-04-18,3.97,WeVkkF5L39888IPPlRhNpg,1289
Todd,2007-07-31,3.88,c8cur4lMkQsHoUEqm-qwxg,292
Flo,2011-03-04,3.77,Nbr4DYLPxURjxelLVTSt8A,170
Joe,2011-03-14,4.21,5ANQiGT0d0RWMJG1LCvNWA,174
Ania,2014-05-27,4.05,LNPyE5X1K5B_flcTCH9StQ,465
Tina,2015-10-14,3.89,2jKzO_01d12oiu-2bOYcYg,344
Ben,2016-08-09,4.44,tFSnxUGaNa2pwb4zClBu_Q,182
Sue A.,2012-12-19,2.97,YqMpcRUA0OMw1WNLDGoj-A,300
Sprinkles,2010-02-16,2.79,uByIGcI5EJeKNGyBtCkWBw,203
Kristin,2007-01-02,3.79,_txhy3UvyGffFh8FLO2_qw,544
Dave,2007-12-23,4.07,Wi0VgIrbb8vqU6weyVw6tg,437
Christa,2014-05-04,3.78,zXBH5QYe1WJCvQdkYBs9JQ,541
Kyle,2010-09-16,3.77,1DsuFRjdW0gDA23Xswzoqg,490
Shirley,2010-10-23,4.07,2EuPAGalYnP7eSxPgFCNDg,509
Dana,2010-07-12,3.68,7tpZVkiYuMbDP4-NufK2Iw,333
Frances,2007-05-17,3.63,gvyYZgFdBbcT3xGjWOvZag,1184
Stevey,2006-09-14,3.73,Yej5B4nd8PqpHMQcmCTDrg,553
Dave,2009-07-05,4.06,vupnMb60HSaTZrMPYsNsiw,259
Christine,2010-06-13,4.1,DquHHYio5bIqZ5vQlC95_w,468
Rashmi,2014-03-20,3.73,CjhTdmN6qWEKC7Zo6qadow,441
Kart,2011-02-11,3.63,kwIhn1_cnQeUaLN0CuWWHw,212
Brad,2009-11-10,3.12,ELcQDlf69kb-ihJfxZyL0A,1574
Melissa,2008-05-03,3.7,Apj8bnqWlnaiSu4YDl0wDA,311
Elvis,2010-11-17,3.16,gwIqbXEXijQNgdESVc07hg,1018
Stan,2011-04-03,4.05,GOTjwdXD6bNZ-_qjY7GYYw,442
Kenny,2009-03-06,3.8,wnFWoQ63F9-ohUQ-C0AeIw,742
Bethany,2013-03-27,3.81,xhhE0txKwQtRzgQVVdKkvg,997
Stephanie,2010-02-13,3.64,pu_AQig2fw40PshvtgONPQ,394
Marc,2013-07-24,3.58,eytpwJXgg5nWU6jrlQ6qAA,292
Tzarina,2013-09-22,4.03,ia5kvJxYR8gPItl9O4W0Mg,275
Kenn,2007-10-16,3.73,ldqh2aWLTW6D2RHDCj_2TA,289
Jay,2012-05-13,3.36,rLl5jjjUK1crVfzbXoQrTA,330
Brad,2008-06-09,3.94,KTK_ws8lu_TWfR7DtDWjMA,809
Candyce,2011-09-27,3.76,oIxsWOWytMmV4bf_ffo01w,824
Chris,2014-08-01,3.49,sOCuf-jZo43DUzWTDKiR9w,281
Allison,2011-04-10,3.58,VacS9fgNkuZ3gDqDHViKuw,270
Jaswant A.,2011-11-14,3.82,0d7gFJUi4cV3I7j1dHn9fQ,576
Megan,2012-01-09,4.07,dGUOe2TBchiGvU1BNkmTog,531
Cathy,2016-01-10,3.57,7svBs9qqPJHPRXZ56Q3ZuQ,227
Billy,2010-11-09,3.43,-_2h2cJlBOWAYrfplMU-Cg,395
Mur,2009-07-20,3.61,qnoXQsDOTOFwJEYXSCnHEQ,205
Julia,2009-09-05,3.66,aDYNz8cujkDdmbiOh95ANA,1055
Jared,2013-02-24,3.1,1fNQRju9gmoCEvbPQBSo7w,649
Karen,2011-05-17,3.71,rGd8YUtvhSdMm8-9cMdQ4Q,589
Amelia,2011-11-16,3.4,m5b84-nPPVNLlDtZyVGZ3w,586
Sabrina,2010-09-19,3.52,L3DxG0n3lRq5N2lv1QNrrA,208
Jack,2010-03-30,2.83,DPitNu466172os6m0Yri1Q,526
Mark,2012-10-28,3.98,oUst55rUuv2nKEQ0FgJ5GQ,293
Sandy,2009-02-25,3.73,gAmmEZLSdj5KXvOlPUQRfQ,301
Samantha,2009-03-16,3.62,YMgZqBUAddmFErxLtCfK_w,1754
Elle,2014-01-10,4.13,FREeRQtjdJU83AFtdETBBw,601
Cynthia,2006-02-10,3.73,53bZ_EsXH71L7iFs5MP9_w,1983
Tien,2007-12-21,3.99,7A7FOLZZKL0iokQVOAEbgA,307
Anthony,2010-02-14,3.84,WJKocp9RE0KatUwh3_DkGg,248
Rick,2014-07-29,4.06,YLeDSZ1Nh1N0hNsSyQdE3A,196
M,2013-12-16,4.27,5fZk-aijjsRehb_jZJRXag,164
Rebecca,2012-04-19,3.78,3DltS5Wr9MOntnc8StBFBA,480
Jessica,2015-05-12,4.2,XOk0Wx1X2qzK5GQq05Aaww,177
Corey Tess,2010-01-06,3.93,MWuVbyBgP4vD24Rc7UH5xw,656
Kemlyn,2016-05-15,4.19,9gZ4pQHdK6v8xMLig6EEFA,589
james,2010-09-12,3.75,D6SEKcIne80A0AhwiEV2Rg,655
Jamie,2010-10-14,3.25,JYcCYNWs8Ul6ewG5kCYW4Q,458
Matthew,2014-05-27,4.59,V7B4KTBitlBs9YH_B00-9Q,410
Melissa,2009-03-04,3.31,GERRIWMslcP4-O6mLErPSQ,879
Lindsey,2013-02-18,3.68,3lVLT3IbXB8s1KAgR9NpDg,328
Corabelle,2014-01-28,3.9,fVILhIglx6RNOXQba5t4kQ,481
Anthony,2012-01-02,3.7,v6SrDjzqb3oS6CbHB0xjPw,292
Hailey,2015-07-17,4.42,e6iCOIhtupBCiw-VwBvJ4A,617
Bryan,2012-04-11,3.86,alr2xk5KBJXHd6zVuEqdDg,256
Wayne,2009-02-17,2.85,xNKjIktegMyHVSXFznJTRg,550
Monica,2010-05-24,3.77,lQGJcwX105k17081f6pulg,462
Holly,2008-05-11,4.04,iAevEfcmtCr2cpd6IRqnTA,737
Karen,2007-08-04,4.01,zwhty_ZmxbHAHoDfMjNbag,504
Michael,2015-07-29,3.45,CQ67NJigSe5-uBDX3b_CUw,277
Norm,2009-04-30,4.19,24AzZDQKHySwMQR7VQVCAg,686
Elaine,2010-06-07,3.56,j6wLUT0ZXi-x0otelYIFpA,954
Kelly,2011-12-02,4.02,zTK1nPD2Hpa-ksSXsE-JzQ,731
Joyce,2008-08-03,3.87,3Uv0dGI2IXJb2OUj8R2GJA,506
Jasmine,2008-01-14,3.65,O7ojHP59iSi32uhEDUR44A,694
Candace,2007-07-29,3.17,h9RUaaHa5kcQKqtJ-sgS0Q,382
Ryan,2015-04-20,3.27,clmrlflES5HrXS-gl_YmrQ,357
Chad,2011-06-12,4.15,iSC96O2NjQc3JExGUHQG0Q,573
Jenny,2012-02-09,3.46,_t3BJzyGaqr9mcDazYiYAQ,515
Christina,2007-05-15,4.05,pN6pzJR6mK7549M0azoaxg,268
Larissa,2012-10-15,3.91,M9TjYmTgHayJ22cNkyvW_g,600
Britt,2010-02-18,4.27,QG9ZJatKSWj5p5VrW3cfMA,279
Natalie,2007-10-09,3.79,avmRUkWovTsaDqKiNKdivQ,279
Arnel,2010-04-30,4.22,Ryxj0u0AW3mRsRypdYli2A,2058
Anthony,2012-06-25,3.49,AY_cjY1bRAD-I_K11dYvOA,269
Tony,2014-05-13,3.51,4ZkQwaOoLT2eJWux9fE1Jw,268
Lauren,2007-01-23,3.6,HhVNG_1NOEyxfxudd6TSCg,670
Hector,2010-11-17,3.84,JqP9_2Ky-X1MRro0pBPPNQ,198
Benjamin,2009-12-30,4.13,AvC5XQAElcGAAn_Wr5auEg,1128
Natasha,2013-08-25,4.14,W4ZuWztx47aiksyYPUMYDw,264
Jason,2009-04-02,3.73,NsegE9Mqm3GCQeSx0v0tYw,238
Lauren,2009-07-10,3.51,VZRxANvyTm2ixS6jYDGgEw,445
Lavinia,2013-01-27,4.35,HHrDK8PKL3div1uBYym6LQ,288
Ramsey,2009-01-06,3.74,TprC8sujz8MkwuomrqUSiw,247
Demetria,2009-06-05,3.74,9IRuYmy5YmhtNQ6ei1p-uQ,703
Tracy,2014-10-17,3.39,eY6TPklHTeOaQt9F8a_SGQ,383
Jenny,2011-08-03,3.83,Rdt-JiAN7Qlw3dJ7UVdNtw,406
Stacy,2009-06-11,3.73,771OWzbzelsEeSlx8QsfsQ,202
Ashley,2014-01-01,4.56,el3TmKFEFzZOcNbCw2FNlQ,235
Marisa,2009-08-13,3.98,6rGVoAI0Bl8ZEbMNJWOK3w,818
Lambert,2014-03-11,3.57,65yB0ydGXOZ_-T6J_GbKfw,1206
Rich,2011-02-23,2.59,FgyvflZtqRF03j5bIrlnlA,268
Jessica,2008-11-02,3.96,wHAxtj5Gbk9xywIJRrzcKQ,296
BloodyExpert,2016-03-06,3.1,mrpDR4jeLYun7bLMbw5a4w,191
Nicole,2011-03-22,3.64,WaAOt_eG0_-yLpG3fI--3g,471
Jennifer,2011-11-06,3.74,61AymMi8D4RTQ2aa1w41ew,597
Jennifer,2009-05-02,4.04,cMEtAiW60I5wE_vLfTxoJQ,4124
Dilys,2015-01-14,3.78,Vqp0dpug9Db-kFHO3PkAaQ,164
Jeremy,2008-08-14,3.39,xwXw5HW3Y6Gr37V0KxX8sA,328
Georgie,2010-07-02,3.67,A0j21z2Q1HGic7jW6e9h7A,1244
Karen,2014-04-25,3.86,jwctwzboGhQmtC50Juxa9A,351
Morgan,2013-05-29,4.27,sHY6JcgWOHLP4vR836Esmw,175
John,2010-09-22,4.09,Olo_x4fV1sFBtlj6COf9Wg,405
Melissa,2009-08-23,3.46,R1RDHafKh9T426DijeRixA,317
Brent,2008-07-25,4.13,WMMI5Q4Rmm1Rqdu0jOvyhQ,405
Kate,2012-07-25,4.07,BA9SDRZGyRcUMxTdUTVhmw,385
Lauren,2012-06-10,3.79,ayoslNT7RdE-LyzS-fJVFA,232
Yvonne,2010-10-28,3.34,HFItzRohDHZvcKDrM6ABZg,599
Mario,2011-10-01,4.37,DzyBToexbfik0zt7ppky-Q,403
Jeff,2013-09-19,3.85,fCWEsW3lhZk2RQ0zPrqvsw,346
Miam,2014-05-08,3.52,z66KKknqWzFBWZb0GbEi2g,221
Beth,2009-01-02,3.78,gVmUR8rqUFdbSeZbsg6z_w,485
David,2011-10-21,3.99,A5A34ixb-yy6nwL42iZsnw,409
Jill,2012-01-31,4.09,jUZW1alRK8QvdZ-pH1OquQ,315
Dana,2013-08-02,3.68,Isf8G6HPbNqEisKDjmUlbw,792
Arana,2010-06-28,3.83,B7AjB8W2BWJtXPjweJs9pw,321
Peter,2012-08-27,3.95,CjHWRUKXhhley9N9NLS07Q,320
Bobby,2010-03-10,3.63,W1AFbtC37Q1RzdrKS51NmQ,360
Samantha,2009-03-30,3.55,JmhVFueYvJe0CsUddwuajw,338
Danna,2010-11-18,3.39,wc4XAA5pC3b1UgooSypHwA,427
Brian,2012-07-28,3.71,zBi_JWB5uUdVuz3JLoAxGQ,681
Dustin,2010-01-05,4.14,gtuRablOmw5O08QoKbn0fQ,266
Sarah,2011-06-04,3.53,oUuR4_EUsq1ZGokfdl7EeA,241
LJ,2011-03-07,3.87,vWP8-aQX0rYJszqkWVL7Ew,563
Morgan,2008-03-21,4.08,T8LqkYbwMPZmvXSsUfN8sQ,398
Faith,2009-03-05,3.83,Reuq65EOFI938Yg8xgff9g,1128
Soo Jin,2009-04-25,3.18,niKu4se6xtf-ctlm0udr1w,514
Toni,2010-04-28,3.66,Et79VAN692zD2j32PM1E8w,404
Tiger,2011-12-28,3.47,xVV86BToDOQGxE1gt9MMvg,347
Kelly,2011-08-26,3.91,dvwFC5u09dbG_16AeNKBmQ,368
Heather,2006-06-24,3.82,XXKjsdglgwSs9kWtK6ZWUQ,486
Jasmine,2008-05-02,3.46,bhJ6ivAuSpgXP4JiKWjSZQ,931
Antonia,2009-07-26,3.79,u_wqt9RshdZsoj8ikLqoEQ,420
Jenifer,2009-06-23,3.85,3AV5ONopdwL5qKYW20SRdg,249
Stephanie,2008-01-19,3.54,Rs-HbyVraRCP2X4ey1t-IQ,239
Darrell,2012-10-13,2.9,7dnh9OrD8LekBwvachGH5Q,1660
Kimberly,2009-07-12,3.81,1sGYXSkJHPhJ6wQtc-RbZw,705
Mya,2012-01-11,3.81,veeaBpjDwo-xfHSz3z3PWg,352
David,2011-07-05,4.22,8AwcaBJjiMpQ__FPxktwwQ,852
Paul,2010-10-06,3.94,QYobbHEmhLGuS6QDqVRTLw,308
N,2009-07-18,4.2,w1TjcJ6itK7LC_IY61NQIQ,205
Laura C,2010-03-18,3.58,0BBUmH7Krcax1RZgbH4fSA,1180
Shannon,2012-07-31,4.01,8fsZcLADFrPTbGrFqMACpg,360
Jamie,2009-09-11,4.01,67HwuY1mtttvvnqn9tHU0Q,436
Ryan,2008-07-28,3.87,2ZZNOoMQ7WFvFoxDUFw1wg,323
Jason,2009-01-30,3.66,8959F5stCzJWI_I7dgxurg,455
love lv,2010-06-10,3.57,Zb2T6JhcBGzgc6RWmldbDg,203
hilary,2009-03-12,4.03,TK7208ZMWAERUUY2dEtD6w,183
Elizabeth,2013-02-18,4.39,ICw4trkmmulxI-SwmY0yiQ,255
Marina,2011-04-04,3.83,hMnVzdUPwloQ2OomQbrY_Q,230
Jessica,2014-10-25,4.14,Nhk0jTP2gkU12G4LHJVR3A,278
Dyanna,2011-06-22,4.03,NjNJ1JLnMlOfnDI6Oz6Qew,348
Su-shien,2008-04-02,4.32,9uE0smG2bwgkI95RPj0lPQ,433
Dan,2010-06-20,3.73,wOGfOjBaP-lCS1NW_En2LQ,164
Christie,2012-04-12,4.03,eZfHm0qI8A_HfvXScwIYsg,476
Cynthia,2012-09-21,3.82,9ks-80ZxeCZWNObzEbW4-Q,507
Yukie,2014-08-20,3.68,XrYTMhY9YJvzX2pMepIz7A,278
Bernie,2012-07-16,3.4,pMefTWo6gMdx8WhYSA2u3w,1100
Arvin,2008-08-25,4.66,jX7n6KfNZ22kBh6AHhxRbA,253
WaYnE,2010-03-30,3.2,Wu0yySWcHQ5tZ_59HNiamg,1086
Sandra,2014-01-13,3.7,pxzs-Dy2hXTis-PuNCV37Q,267
Teresa,2013-01-19,3.82,Hci2c0qo98CO-Pv-VmV7gg,270
Jenny,2015-08-01,4.17,EtFYEN0sbxkZOOt3DE7vWg,406
Don,2008-05-30,3.74,lU_aNRWw8edBmIi5_NARmg,332
mark,2008-04-15,3.26,nGoKau64-PtetuzfcRW3jA,334
Brad,2010-08-29,3.02,K-w94EzfWkpl8YhpTeqW0w,238
Roger,2011-08-09,3.6,0FMte0z-repSVWSJ_BaQTg,709
Christi,2011-03-17,3.82,PVyZXgOkVtnU6966FDFhuw,569
Logie,2010-07-31,4.02,8UPTxp6SXvQe6JoEbEGcyA,439
Meghan,2014-07-05,4.18,DeXKbQYNx52OlOizobOLJw,580
Ebony,2009-04-18,3.89,92e_B3VDY5TqxVYsKuNzKg,602
Marie,2011-02-12,3.48,BI4jBJVto2tEQ0NiaR0rNQ,538
Barbara,2014-04-11,3.7,C7lXOTSLUAHG3gkG_Q_39w,349
Laura,2010-10-03,3.78,135DbbQnr3BEkQbBzZ9T1A,599
Angela,2011-06-25,3.48,SfY0jEFqBkrqq9bVi6P31Q,573
Ayesha,2008-03-19,3.61,5uiCy0vSIknuDEHc7yHRkw,315
Jen,2013-04-09,3.82,wcDhhBk1d0_lCdvB8sds1g,311
Jason,2011-09-11,3.82,4m9NXICYBC5i9t4aTt-I6w,1366
Sarah,2007-10-25,3.86,OPN-dDUBkH7uH-G8nOnskg,537
Carlos,2010-08-17,3.82,jzkbhkRdjWPwTIOgRGggIg,520
Clint,2009-06-24,3.64,C2C0GPKvzWWnP57Os9eQ0w,1117
Melissa,2007-11-08,3.8,ZQYNombDho1PYfnEWFZevw,464
Ghia,2009-12-06,3.93,Y8adrWFzckrjuC11aAs9Og,406
Mick,2014-04-17,3.67,PdCR2ElSc0cVym5dCN3Zsw,388
Larry,2007-08-14,4.49,_bUf-9uN9ajvLs03VBxn6Q,284
Lynnette,2012-02-07,3.77,-tQ3UVVdNBZBR_HOVFROzw,323
Evan,2010-01-26,3.59,gScmsSCqBeFPp6q9yG5nmw,553
Mike,2008-10-23,4.15,Mho2GibREwsPesKEyQbt8w,252
Rachel,2010-07-25,4.1,-267Yx8RmdP6io2-qI4UcQ,216
Chuck,2011-06-21,3.96,FTZyZbr1eF7s3Ss7uSLcXQ,396
Bebe,2011-01-13,3.36,Nvpx9fUIAB3oddqgRLEPfg,269
Stephen,2011-09-25,4.06,a85qPvr6L63PF0v9Zs8ZAg,333
Alana,2013-07-02,3.9,YF3KmwYMeONIfX02OTxwFw,268
Robin,2014-02-11,4.03,UHHraFRu5NKvZqIHp2O02w,181
Mary,2011-06-29,3.72,NrpzAH3EoNhWUR8OysUhBQ,248
C,2010-01-17,3.79,qgbRvkZ8tUiAtNAM34YBzg,269
Jared,2010-01-23,4.05,wAqiSluTMo_2T-dTN4Bozg,234
Alia,2010-09-24,3.86,PV0VEhlmhc2BjzMZEbpWlg,418
Jadira,2009-11-20,3.54,AuvaQaRHBowFaFtoEMqkVg,425
Ariel,2011-12-15,4.15,Gjv3ERasrRJqtEPa7ZMUSw,173
Scott,2010-02-19,3.62,yrGIgk5eaWy-eewLNv4KHQ,559
Mariko,2010-02-07,3.61,V4TPbscN8JsFbEFiwOVBKw,844
Bob,2010-10-14,3.56,QaN-nccbLZPWzownQYgTVQ,384
Ben,2011-06-09,4.12,De-dImXf-TOFWWPTUWwIvw,162
Kristy,2015-06-18,3.73,jlu4CztcSxrKx56ba1a5AQ,575
Tina,2009-07-03,4.23,yis0tDX83YnFLzUbKZ_KFg,301
